x ,y, z, class, r, g, b
-1.296182e+01, -2.040182e+01, -5.111965e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
2.486918e+01, -1.437230e+01, 3.263651e+01, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
-3.053622e+00, -1.959901e+01, 3.844456e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.448294e+01, -1.111959e+01, 2.581642e+01, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
-3.714728e+00, -1.910467e+01, -6.444247e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-7.043840e+00, -2.182046e+01, 3.929229e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-8.783291e+00, -2.289914e+01, 4.423738e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-5.573550e+00, -1.966440e+01, 1.872285e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-3.128621e+00, -1.984812e+01, 1.370707e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
2.952983e+01, 1.089325e+01, 1.783615e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
1.258033e+01, 2.342546e+01, 2.819517e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
-3.242264e+00, -2.341099e+01, 2.340667e+01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-4.908118e+00, -2.072771e+01, -8.908681e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
2.544398e+01, 1.203743e+01, 1.765945e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-2.977211e+00, -2.078991e+01, 1.317765e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-6.666173e+00, -1.986040e+01, -4.238903e-01, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
7.720356e+00, 2.064922e+01, 6.981125e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
1.601520e+01, 2.432853e+01, 2.372848e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
2.542609e+01, -3.765302e+00, 2.775234e+01, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
-3.168615e+00, -2.090322e+01, 1.605207e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-1.107284e+01, -2.144107e+01, -9.638998e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
2.508399e+01, 1.204764e+01, 1.664711e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
1.062356e+01, 2.096997e+01, 5.066581e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
2.267244e+01, -3.050718e+00, 2.885092e+01, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
1.093426e+01, 2.351279e+01, 4.763906e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
1.727946e+01, 2.540787e+01, 3.674122e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-1.925039e+00, -2.352570e+01, 9.342265e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-4.192962e+00, -1.773908e+01, 2.483736e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-2.736727e+00, -2.099226e+01, 1.841846e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-2.451332e+00, -1.900151e+01, 4.656128e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
2.897910e+01, 1.265486e+01, 1.542430e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-3.375774e+00, -1.977477e+01, 2.165211e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-2.977345e+00, -2.258827e+01, 8.310033e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
2.374555e+01, 1.788322e+01, 1.193820e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-6.828113e+00, -1.956170e+01, -4.022033e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
2.781449e+01, -1.598176e+01, 2.406265e+01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-8.499539e+00, -2.045467e+01, -1.185463e+00, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
-2.272764e+00, -1.896001e+01, 9.843988e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-1.029686e+01, -2.139584e+01, 1.781299e+00, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
-6.803295e+00, -1.948643e+01, 6.841168e-01, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
